time_step,dimension,predicted_value
0,0,-0.4507791490512642
0,1,0.9833786737517416
0,2,1.286774729591237
0,3,0.16989548484873185
0,4,-1.0679541867978135
0,5,2.602029372102159
0,6,1.0869292261128494
0,7,1.5381346865834677
0,8,-0.7549352230281546
0,9,-1.2699358707461303
0,10,0.6183889046797113
0,11,0.03467441034352177
0,12,0.23093961162171847
0,13,1.6567080185731655
0,14,-1.1265413451247417
0,15,-0.7714558001743714
0,16,1.1306514177437283
0,17,0.6977623894359104
0,18,0.5370054055162058
0,19,1.7496904191150573
0,20,1.724459495963974
0,21,-1.4854232356535404
0,22,0.44372169969538267
0,23,1.536686117511314
0,24,0.6059923814490696
0,25,0.38702951886407294
0,26,-0.27061878754493923
0,27,1.4191644280863964
0,28,-0.1489135437341455
0,29,0.6956665162268933
0,30,-0.810100507374167
0,31,1.223295872082024
0,32,-0.26779180499916416
0,33,-1.5731258108255255
0,34,1.0751026927565308
0,35,0.6684483450411026
0,36,0.33153055765452316
0,37,-0.28934252636468705
0,38,-0.18969104051080993
0,39,0.4476792557000854
1,0,-0.01644263196557357
1,1,1.2984599436637327
1,2,1.6200220806275265
1,3,0.4393459362009323
1,4,-0.5558028742010244
1,5,2.883667561406247
1,6,1.7420206939617278
1,7,1.5781916156330191
1,8,-0.5307153524944603
1,9,-0.646379352441028
1,10,0.9765121208335446
1,11,0.5427813567739004
1,12,0.745816627233147
1,13,1.8827053504485487
1,14,-0.7405462466483804
1,15,-0.320156694032681
1,16,1.4674605234102833
1,17,1.1841822244848417
1,18,1.0747522036727304
1,19,2.1590772028872833
1,20,1.8420542936989435
1,21,-1.132274171566209
1,22,0.8387754078508785
1,23,1.9896734685401296
1,24,0.992587165616826
1,25,0.661297286265223
1,26,0.1562470007271125
1,27,1.6724782144458619
1,28,0.35798918596411566
1,29,1.0431583008748677
1,30,-0.25720840542865253
1,31,1.5419887534281074
1,32,0.1073335798319512
1,33,-1.0873395947835165
1,34,1.3999082895014685
1,35,1.0962998389012601
1,36,0.6865679813703489
1,37,0.12611295733799138
1,38,0.24339253003767625
1,39,0.8226592008857706
2,0,0.4255546797174553
2,1,1.6025297707955013
2,2,1.962692309469777
2,3,0.6792807383428966
2,4,-0.012386842716658042
2,5,3.1663842989290187
2,6,2.329822069741087
2,7,1.542901534511324
2,8,-0.19364787747048998
2,9,-0.0866507547997968
2,10,1.3219427261019523
2,11,1.1142386686720882
2,12,1.2760661729667937
2,13,2.0559449408373913
2,14,-0.41155951617696196
2,15,0.13604817299906827
2,16,1.8013548604256955
2,17,1.6640613674652147
2,18,1.5503942975567528
2,19,2.4844648328812275
2,20,1.9039616948874876
2,21,-0.7388900452734842
2,22,1.2052594720265846
2,23,2.4328557770863224
2,24,1.2786478185461778
2,25,0.8878791157829324
2,26,0.5639979313552584
2,27,1.9828742080316928
2,28,0.8080553049130452
2,29,1.3424843847519758
2,30,0.24721582432143574
2,31,1.8504088225607915
2,32,0.5221091051735494
2,33,-0.6205618484199534
