time_step,dimension,predicted_value
0,0,-0.4461963220098145
0,1,1.0006208453445518
0,2,1.288607018979335
0,3,0.15034619180246941
0,4,-1.0603895383073207
0,5,2.623345243984027
0,6,1.0716760773975986
0,7,1.5854849744326915
0,8,-0.7526225737029147
0,9,-1.2649291465299066
0,10,0.6458568765413525
0,11,0.07378346683429222
0,12,0.18905325943561208
0,13,1.6668064167162875
0,14,-1.1006917570145884
0,15,-0.7417452637194005
0,16,1.0496960746150934
0,17,0.7179623095052338
0,18,0.5158752611482862
0,19,1.8303729993443725
0,20,1.722362995166171
0,21,-1.5248974615544582
0,22,0.5091592908838649
0,23,1.5605028603156512
0,24,0.599248908851983
0,25,0.34132455817885615
0,26,-0.21737964763619178
0,27,1.4283039955086239
0,28,-0.18534042340055792
0,29,0.6962855191407471
0,30,-0.7809920957410216
0,31,1.224784931952983
0,32,-0.30147368816936254
0,33,-1.5846501391272878
0,34,1.0912097682889432
0,35,0.7281356680075401
0,36,0.36984470417437765
0,37,-0.27617683886606553
0,38,-0.118983403825376
0,39,0.4563162270494664
1,0,-0.005890705316208554
1,1,1.3323298322123769
1,2,1.6218218865361487
1,3,0.4308853974528053
1,4,-0.5670531183384335
1,5,2.8482826867500783
1,6,1.7318704093855408
1,7,1.6628954910338458
1,8,-0.5401975079652678
1,9,-0.7550556755948756
1,10,0.9686412445802473
1,11,0.5266343504148367
1,12,0.6245820952422045
1,13,1.9382064566976769
1,14,-0.7334147722538022
1,15,-0.27332312046937945
1,16,1.3879558806442578
1,17,1.1476341620189063
1,18,0.938815414886635
1,19,2.187458327967652
1,20,1.8153063837127317
1,21,-1.1619685575291616
1,22,0.8805332008132838
1,23,1.9688925462976623
1,24,0.9532119793114109
1,25,0.6346476303307728
1,26,0.18621480626305145
1,27,1.7006628900134924
1,28,0.30004033979981426
1,29,1.0394942286709745
1,30,-0.2562927316244972
1,31,1.5780708694662746
1,32,0.050028620704397245
1,33,-1.0903541011484728
1,34,1.3711772116861272
1,35,1.1789668578453947
1,36,0.7064268992356846
1,37,0.1289084397084169
1,38,0.2993268246482333
1,39,0.8236427394138655
2,0,0.4351699927618161
2,1,1.6518765814870258
2,2,1.9545528706893678
2,3,0.6738094744106714
2,4,-0.058637286145700095
2,5,3.0850314444246756
2,6,2.316022280908872
2,7,1.6349052235400598
2,8,-0.30158935758545563
2,9,-0.3051123308694256
2,10,1.2851358766106806
2,11,1.0120298684036322
2,12,1.0654907587454472
2,13,2.155423183801574
2,14,-0.41044566143847827
2,15,0.17692491039771824
2,16,1.7282019627746705
2,17,1.576618411966089
2,18,1.350411864038143
2,19,2.492715115661025
2,20,1.89068232285363
2,21,-0.7859858458552988
2,22,1.2348975947528706
2,23,2.3855647805589184
2,24,1.2525963954627601
2,25,0.865865174307142
2,26,0.590984633356199
2,27,2.004773667790751
2,28,0.7521297404971474
2,29,1.33680643219936
2,30,0.23596883125160467
2,31,1.89547262651325
2,32,0.41300740822069193
2,33,-0.6171613928029714
2,34,1.6580863792696214
2,35,1.6424909171576645
2,36,0.9902398508858745
2,37,0.52000966305407
2,38,0.7025405074979955
2,39,1.1822115588266813
3,0,0.9255063251940442
3,1,1.994510233492726
3,2,2.2463328857292293
3,3,0.940106297441535
3,4,0.4446503330944325
3,5,3.349526046668214
3,6,2.8045481734670252
3,7,1.5148655659835109
3,8,-0.07517921023857614
3,9,0.12379298178246194
