time_step,dimension,predicted_value
0,0,2.5363657151678707
0,1,0.627530057699506
0,2,1.6500870162056263
0,3,-0.7640016124506699
0,4,2.441885482727092
0,5,1.0678120834305822
0,6,0.3580262642441754
0,7,-0.5328738361863785
0,8,-0.22192717120162694
0,9,-1.1492036667414436
0,10,1.950896015812504
0,11,0.05981489385720923
0,12,-0.7416474546437956
0,13,-0.3420791850091711
0,14,-0.21104462825817544
0,15,1.5214970040792581
0,16,-1.6968203841365308
0,17,1.2106412950586625
0,18,-0.6408010708518543
0,19,1.1706160797777205
0,20,1.6539487540708493
0,21,0.8602625518150454
0,22,-0.4871287096453427
0,23,-1.3158483350926666
0,24,0.40573247203730967
0,25,-0.19129809634341294
0,26,-2.230304047450475
0,27,0.7088207967927569
0,28,0.908250490853329
0,29,0.22381408642823059
0,30,0.4355261344537489
0,31,1.2445182415552456
0,32,1.515373937492728
0,33,3.0864920512856298
0,34,-0.7492771885811667
0,35,0.8502959585948393
0,36,-2.263566487787809
0,37,1.0613051989668087
0,38,0.8648645850380321
0,39,0.0009596037613167349
1,0,2.7908056120755123
1,1,1.1936390654999556
1,2,1.8250455286448921
1,3,-0.20345592309905697
1,4,2.6981174288755154
1,5,1.5420233965307029
1,6,0.5550464525054742
1,7,-0.13188224904268026
1,8,0.2031561500011227
1,9,-0.7064324353266006
1,10,2.2193897867822776
1,11,0.4973665469702566
1,12,-0.31039897182765036
1,13,0.10846159337977648
1,14,0.18608885756898585
1,15,1.844093597556098
1,16,-1.08188137596292
1,17,1.6726423006853275
1,18,-0.01260365731306654
1,19,1.4927560459838511
1,20,2.052155611622213
1,21,1.05482479152328
1,22,-0.18579170948875018
1,23,-0.790998344490659
1,24,0.7920531955658249
1,25,0.21254122466077718
1,26,-1.68696590459616
1,27,0.996210997992143
1,28,1.3257689170506364
1,29,0.6054053115636616
1,30,0.7998781173195023
1,31,1.61323703616021
1,32,2.0098006649926097
1,33,3.147691254904971
1,34,-0.4428448719726771
1,35,1.3573030844091591
1,36,-1.6160782526944844
1,37,1.4172261655620326
1,38,1.3750465644986645
1,39,0.455219557453883
2,0,3.0441000955622615
2,1,1.730906350695474
2,2,1.9300616919789602
2,3,0.3241535299276721
2,4,2.965636414826889
2,5,1.9671546607135404
2,6,0.6919583248772357
2,7,0.23662959754636956
2,8,0.6067523502144032
2,9,-0.21259679469358303
2,10,2.482392707497818
2,11,0.9430420756144169
2,12,0.08910625583100029
2,13,0.509709027523789
2,14,0.6194104862006177
2,15,2.125331582307182
2,16,-0.4665592406094478
2,17,2.0510716617740963
2,18,0.626613544925025
2,19,1.830976388696262
2,20,2.4339945424994758
2,21,1.1893908137879061
2,22,0.07944870325352757
2,23,-0.309518126116095
2,24,1.1554901949179408
2,25,0.5951216563693938
2,26,-1.1493996652738994
2,27,1.3066977967388982
2,28,1.8246038982106239
2,29,0.9898794511294395
2,30,1.170729403829308
2,31,2.006207348048963
2,32,2.519058057216486
2,33,3.1789500825029546
2,34,-0.15740381686864732
2,35,1.7905689486299774
2,36,-0.9657853677947037
2,37,1.7983860567520185
2,38,1.9276024820497013
2,39,0.9558562150016325
3,0,3.289633914047277
3,1,2.1742498430980874
3,2,1.9763405446852538
3,3,0.8277664155147131
3,4,3.2361287535460255
3,5,2.29557811182462
3,6,0.7683963979380126
3,7,0.5725559643039774
3,8,0.979922112578502
3,9,0.31539309239989854
3,10,2.7513726040157005
3,11,1.3419871971841668
3,12,0.4046075966125032
3,13,0.8730383540492286
3,14,1.0545196107757682
3,15,2.3993164191752063
3,16,0.12278819294270069
3,17,2.38411715455906
3,18,1.2680271999114858
3,19,2.173978015145752
3,20,2.7368783035177127
3,21,1.316601608123904
3,22,0.3245735034191633
3,23,0.14547514727944633
3,24,1.5131798347616994
3,25,0.9588806977886953
3,26,-0.6496432138010698
3,27,1.6312223914852084
3,28,2.329333992782688
3,29,1.345808778475849
3,30,1.530838995778717
3,31,2.431568616083325
3,32,3.0085367774241822
3,33,3.124821377187374
3,34,0.11000305852748786
3,35,2.0926647614700613
3,36,-0.3040353422093252
3,37,2.125477990106712
3,38,2.4651782842799213
3,39,1.445306907683118
4,0,3.5103802276780676
4,1,2.5334410857045278
4,2,2.006877551876148
4,3,1.2951224915843507
4,4,3.5064774069891493
4,5,2.5404471840940785
4,6,0.8157908146331447
4,7,0.8966555975377603
4,8,1.3352748014703795
4,9,0.8479147572860916
4,10,2.9963566632977026
4,11,1.7139275300561845
4,12,0.7108912604665311
4,13,1.2454978325135753
4,14,1.5307292671511536
4,15,2.673177332970677
4,16,0.7052793763414084
4,17,2.6618700852352113
4,18,1.8522133059953354
4,19,2.497740189844774
4,20,2.970372778286361
4,21,1.391039429440349
4,22,0.5457763326750613
4,23,0.5937444429960348
4,24,1.8838125914710862
4,25,1.2411139035290426
4,26,-0.1866518917679817
4,27,1.9765218700156741
4,28,2.8241068770806423
4,29,1.6570128195302114
4,30,1.853336859869461
4,31,2.879651331999413
4,32,3.462990353800752
4,33,2.9384641703088223
4,34,0.3471239861613086
4,35,2.386106532620791
4,36,0.429552551469745
4,37,2.470539456225021
4,38,2.9488956013543732
4,39,1.939585860585101
5,0,3.716090062077712
5,1,2.78850977077859
5,2,2.0253018925560804
5,3,1.7366175122661087
5,4,3.7816902722574355
5,5,2.699600998324791
5,6,0.8480610323812195
5,7,1.2088587929086356
5,8,1.719934323688325
5,9,1.430625745167823
5,10,3.288596713954251
5,11,2.000083200169475
5,12,0.94895519294039
5,13,1.5924677080447025
5,14,2.0242022782747786
5,15,2.9234232908880076
5,16,1.2262467675925777
5,17,2.9140195562711884
5,18,2.4397896657273668
5,19,2.810968537284815
5,20,3.120075515955904
5,21,1.4312881503469066
5,22,0.7908631194397704
5,23,1.0461302357679951
5,24,2.259534868400461
5,25,1.4930387872635493
5,26,0.25222469573590905
5,27,2.3117109736250554
5,28,3.3042127451561227
5,29,1.9520486081287622
5,30,2.1813359674400687
5,31,3.3756643932725376
5,32,3.830218812666497
5,33,2.6421936522347758
5,34,0.5510236852074011
5,35,2.7007388838939272
5,36,1.233444954624342
5,37,2.836923137257677
5,38,3.374108500998779
5,39,2.4102512350473284
6,0,3.8751397946876027
6,1,2.9606108835271057
6,2,2.0872489824477785
6,3,2.1762698361796926
6,4,4.074987099290766
6,5,2.7385012119384333
6,6,0.868555763179424
6,7,1.5254631372364131
6,8,2.1215641519113135
6,9,2.0181552162965515
6,10,3.5740009531244423
6,11,2.2014547834100355
6,12,1.1686254053286542
6,13,1.964654379558955
6,14,2.544805485513261
6,15,3.199050997131545
6,16,1.7290518042338263
6,17,3.1912107430570096
6,18,3.0368994193504246
6,19,3.088633361187349
6,20,3.1355746611253013
6,21,1.477398791032385
6,22,1.0545336872094013
6,23,1.51285192163524
6,24,2.620990709275227
6,25,1.74511587544683
6,26,0.6950735189467921
6,27,2.7292079273975625
6,28,3.7627965382320427
6,29,2.193749317369364
6,30,2.5161064497967183
6,31,3.8896688439916405
6,32,4.039739879470576
6,33,2.1855105146672362
6,34,0.7673441332984696
6,35,3.0845506035804373
6,36,2.1118216998992145
6,37,3.206686550018709
6,38,3.723930400779218
6,39,2.8352094569621697
7,0,3.982291963117415
7,1,3.0464031880534517
7,2,2.2055624124181596
7,3,2.6703807338814762
7,4,4.373763467964583
7,5,2.606926432389442
7,6,0.900830871413412
7,7,1.8518384337403617
7,8,2.577727240638137
7,9,2.609533395956677
7,10,3.7691690555141726
7,11,2.3193410848739253
7,12,1.3860394063919184
7,13,2.3409634269365713
7,14,3.0625654653652132
7,15,3.414779426188317
7,16,2.1322504551279815
